name,price,link
"SAKO .308 WIN 151A GAMEHEAD VARMINT RX 8,4 G CARTRIDGE",2.00 €,https://www.jahipaun.ee/en/online-shop/toode/ammo/rifle/sako/sako-308-win-151a-gamehead-varmint-rx-84-g-cartridge-_1ye9tx/
"S&B 5,6X52 R FMJ 4,6 G",2.01 €,https://www.jahipaun.ee/en/online-shop/toode/ammo/rifle/sellierandbellot/sb-56x52-r-fmj-46-g-_fobp4u/
"S&B 6,5 X 52 R SP 7,6 G",2.07 €,https://www.jahipaun.ee/en/online-shop/toode/ammo/rifle/sellierandbellot/sb-65-x-52-r-sp-76-g-_sx4rqp/
"RWS TARGET ELITE PLUS 6.5 CREEDMOOR 8,4 G",2.09 €,https://www.jahipaun.ee/en/online-shop/toode/ammo/rifle/rws/rws-target-elite-plus-65-creedmoor-84-g-_5798q2/
"NORMA .223 REM. ORYX 3,6 G",2.11 €,https://www.jahipaun.ee/en/online-shop/toode/ammo/rifle/norma/norma-223-rem-oryx-36-g-_arj8d5/
"S&B .300 AAC BLACKOUT TXRG 7,1 G",2.14 €,https://www.jahipaun.ee/en/online-shop/toode/ammo/rifle/sellierandbellot/sb-300-aac-blackout-txrg-71-g-_aqqbgb/
"NORMA 7 MM REM. MAG. JM 9,7 G",2.14 €,https://www.jahipaun.ee/en/online-shop/toode/ammo/rifle/norma/norma-7-mm-rem-mag-jm-97-g-_sckju9/
"S&B .308 WIN. HPBT 10,9 G",2.14 €,https://www.jahipaun.ee/en/online-shop/toode/ammo/rifle/sellierandbellot/sb-308-win-hpbt-109-g-_up5tib/
"SAKO RANGE SPEEDHEAD 9,3x62 15 G",2.14 €,https://www.jahipaun.ee/en/online-shop/toode/ammo/rifle/sako/sako-range-speedhead-93x62-15-g-_x26tqu/
"SAKO 6,5X55 SE RANGE SPEEDHEAD 6,5 G",2.18 €,https://www.jahipaun.ee/en/online-shop/toode/ammo/rifle/sako/sako-65x55-se-range-speedhead-65-g-_ok8u6s/
"NORMA .308 WIN. PPDC 11,7 G",2.23 €,https://www.jahipaun.ee/en/online-shop/toode/ammo/rifle/norma/norma-308-win-ppdc-117-g-_djcesc/
"NORMA ORYX .222 REM. 3,6 G",2.25 €,https://www.jahipaun.ee/en/online-shop/toode/ammo/rifle/norma/norma-oryx-222-rem-36-g-_brgqwt/
"SAKO .223 REM 648G POWERHEAD BLADE 3,56 G ",2.30 €,https://www.jahipaun.ee/en/online-shop/toode/ammo/rifle/sako/sako-223-rem-648g-powerhead-blade-356-g-_h8ljcq/
"WINCHESTER DEER SEASON 6,5 CREEDMOOR 8,1 G",2.32 €,https://www.jahipaun.ee/en/online-shop/toode/ammo/rifle/winchester/winchester-deer-season-65-creedmoor-81-g-_mwokjk/
"NORMA WHITETAIL 6,5 CREEDMOOR 9,1 G",2.32 €,https://www.jahipaun.ee/en/online-shop/toode/ammo/rifle/norma/norma-whitetail-65-creedmoor-91-g-_p2118f/
"NORMA GOLDEN TARGET 6.5 CREEDMOOR HPBT 8,4 G",2.32 €,https://www.jahipaun.ee/en/online-shop/toode/ammo/rifle/norma/norma-golden-target-65-creedmoor-hpbt-84-g-_400cz3/
"S&B 8x57 JS HPC 12,7 G",2.34 €,https://www.jahipaun.ee/en/online-shop/toode/ammo/rifle/sellierandbellot/sb-8x57-js-hpc-127-g-_8rb6ld/
S&B .30-06 SPR HPBT 10.9 G,2.34 €,https://www.jahipaun.ee/en/online-shop/toode/ammo/rifle/sellierandbellot/sb-30-06-spr-hpbt-109-g-_eh095r/
"S&B .308 WIN. HPBT/OTM 11,7 G",2.39 €,https://www.jahipaun.ee/en/online-shop/toode/ammo/rifle/sellierandbellot/sb-308-win-hpbt-otm-117-g-_hgsjcw/
"NORMA ORYX 6,5 CREEDMOOR 10,1 G / 156 GR",2.39 €,https://www.jahipaun.ee/en/online-shop/toode/ammo/rifle/norma/norma-oryx-65-creedmoor-101-g-156-gr-_r6hv4f/
